序号	品名	规格	物料编码(占位)	规格描述	HS编码(待填)	退税率(待填)	适用国家/地区(待填)	官网图片路径(待填)	是否精选展示(是/否)
1	RCSK-1小方螺母 (铁) （网纹）	M3*5.4*5.4*1.9		M3*5.4*5.4*1.9					
2	RCSK-1小方螺母 (铜)	M3*5.4*5.4*1.9		M3*5.4*5.4*1.9					
3	RCSK-1小方螺母 (铜) （网纹）	M3*5.4*5.4*1.9		M3*5.4*5.4*1.9					
4	SK20螺杆	M4*28		M4*28					
5	T形铆钉	Φ2.5*13.8		Φ2.5*13.8					
6	Y型平头螺钉	M3*22		M3*22					
7	Y型盘头尖尾自攻螺钉	ST3*17.5		ST3*17.5					
8	一字六角凹穴尖尾自攻螺钉	ST4.3*22/12.5mm		ST4.3*22/12.5mm					
9	一字六角凹穴束尾自攻螺钉	ST4.2*12.7		ST4.2*12.7					
10	一字六角凹穴法兰花齿束尾螺钉	#8-32*9.5		#8-32*9.5					
11	一字内六角紧定螺钉（带孔）	M8-1*16		M8-1*16					
12	一字内六角紧定螺钉（带孔）（无热处理）	M8-1*16		M8-1*16					
13	一字单孔大头铅封螺丝	M4*20/12.5mm		M4*20/12.5mm					
14	一字圆头单孔铅封螺钉	M4*30/8mm		M4*30/8mm					
15	一字圆头四孔铅封螺钉(45°孔)	M6*12		M6*12					
16	一字圆头螺钉	SM9/64-40*6		SM9/64-40*6					
17	一字圆柱头螺钉	M6*13		M6*13					
18	一字大头单孔圆尾铅封螺钉	M4*16/10mm		M4*16/10mm					
19	一字大头单孔铅封螺钉	M4*34.5/11.5mm		M4*34.5/11.5mm					
20	一字大扁头螺钉	#8-32*12.7（9.3*2.4）		#8-32*12.7（9.3*2.4）					
21	一字平头凸缘束尾螺钉	M5*10.5		M5*10.5					
22	一字平头单孔铅封螺钉	M4*42/8mm		M4*42/8mm					
23	一字平头台阶螺钉	SM3/16-28*13（总长）		SM3/16-28*13（总长）					
24	一字平头四孔平尾自攻螺钉	ST5.7*16/11.8mm		ST5.7*16/11.8mm					
25	一字平头四孔铅封螺钉	M4*43/6mm		M4*43/6mm					
26	一字平头尖尾单孔铅封螺钉	M4*19.5/9.5mm（3.0小杆）		M4*19.5/9.5mm（3.0小杆）					
27	一字平头拧断四孔铅封螺钉	M4*43/6mm		M4*43/6mm					
28	一字平头束尾螺钉	M3*6.9（总长）		M3*6.9（总长）					
29	一字平头端子螺钉	M6*15		M6*15					
30	一字平头螺钉	M6*9.5		M6*9.5					
31	一字平头螺钉（带M2孔）	M6*9.5		M6*9.5					
32	一字拧断四孔铅封螺钉	M4*10/8.5mm		M4*10/8.5mm					
33	一字拧断平尾自攻螺钉	ST3.6*20/10mm		ST3.6*20/10mm					
34	一字拧断铅封螺钉	M4*30/8mm（φ5.6）		M4*30/8mm（φ5.6）					
35	一字止逆四孔铅封螺钉	M4*40/8mm（7*6.5）		M4*40/8mm（7*6.5）					
36	一字滚花开槽螺栓	M3*6.5/4mm		M3*6.5/4mm					
37	一字盘头尖尾自攻螺钉	ST2.9*6		ST2.9*6					
38	一字盘头止逆螺钉	M3*8		M3*8					
39	一字盘头螺钉	M5*10/8.5mm		M5*10/8.5mm					
40	一字端子螺钉	M3*6.1		M3*6.1					
41	一字紧定螺丝	M8-1*11		M8-1*11					
42	一字紧定螺钉	M8*17		M8*17					
43	三角头单孔铅封螺钉	M4*16/6mm		M4*16/6mm					
44	三角防盗螺钉	1/4*27mm/10mm		1/4*27mm/10mm					
45	下座螺丝	M3*16.7		M3*16.7					
46	下座螺钉	ST3*22.3mm		ST3*22.3mm					
47	下座螺钉 (头厚4.5)	M3*22/5mm		M3*22/5mm					
48	下座螺钉 (尾部带倒角)	M3*22/5mm		M3*22/5mm					
49	下座螺钉(特殊)	M3*22/5mm		M3*22/5mm					
50	不锈钢十一字平头四孔铅封螺丝	M4*32/6mm		M4*32/6mm					
51	不锈钢铆钉	Φ6*13.8		Φ6*13.8					
52	元宝螺母	φ6.2*21.8*10.2		φ6.2*21.8*10.2					
53	全金属锁紧螺母	M10		M10					
54	六角凹穴法兰花齿螺栓	M5*6		M5*6					
55	六角凹穴法兰螺栓	M6*188/15mm		M6*188/15mm					
56	六角凹穴法兰面花齿螺栓	M8*12.7		M8*12.7					
57	六角凹穴法兰面螺栓	M6*196/15mm		M6*196/15mm					
58	六角双头螺柱	M4*S7*69.3（总长）		M4*S7*69.3（总长）					
59	六角头割槽螺栓	M12*38		M12*38					
60	六角头割槽螺栓（带孔）	M12*30		M12*30					
61	六角头单孔螺栓	M8*43/24mm		M8*43/24mm					
62	六角头单孔铅封螺钉	M4*17/10mm		M4*17/10mm					
63	六角头带齿双螺纹螺栓	M12*38		M12*38					
64	六角头带齿螺栓	M8*20		M8*20					
65	六角头开槽螺栓	M6*55		M6*55					
66	六角头弹平垫三组合螺	M6*16		M6*16					
67	六角头法兰螺栓	M12*25		M12*25					
68	六角头滚花螺栓	M10*110/26mm		M10*110/26mm					
69	六角头螺栓	M8*25/20mm		M8*25/20mm					
70	六角头长螺杆	M6*123		M6*123					
71	六角定位销	M4*10/6mm/6mm		M4*10/6mm/6mm					
72	六角嵌件	M6*9.6/H9		M6*9.6/H9					
73	六角嵌件（倒角口）	UNC3/8-16*24.5-φ15		UNC3/8-16*24.5-φ15					
74	六角嵌件（台阶口）	M8*13-φ12		M8*13-φ12					
75	六角开槽螺母	M4		M4					
76	六角开槽螺母（盲孔）（外台阶）	M12*20		M12*20					
77	六角开槽螺母（盲孔）（槽宽4）	M12*20		M12*20					
78	六角柱(对边6)	M4*8/7mm		M4*8/7mm					
79	六角柱（对边6）	M4*11.5/7mm		M4*11.5/7mm					
80	六角法兰尼龙螺母	M6		M6					
81	六角法兰花齿尼龙螺母	M8*8.1		M8*8.1					
82	六角法兰花齿螺母	M6		M6					
83	六角法兰花齿螺钉	M16*40		M16*40					
84	六角法兰螺母 （右牙）	M6		M6					
85	六角法兰面花齿螺栓	M8*45		M8*45					
86	六角法兰面花齿螺母	M8		M8					
87	六角法兰面螺栓	M8*32		M8*32					
88	六角法兰高螺母（对边12）（盲孔）	M8*16		M8*16					
89	六角法兰高螺母（盲孔）	M6*30-φ13.5		M6*30-φ13.5					
90	六角滚花嵌件（倒角口+带孔）	M12*25-φ17		M12*25-φ17					
91	六角滚花嵌件（倒角口）	M8*23-φ12		M8*23-φ12					
92	六角滚花嵌件（台阶口）	M8*23-φ12		M8*23-φ12					
93	六角滚花铆螺母	M3*S5.5*3		M3*S5.5*3					
94	六角薄螺母	M12		M12					
95	六角螺套	M8*90		M8*90					
96	六角螺母	M8		M8					
97	六角铆螺母	M8*28		M8*28					
98	六角铜柱	M4*51.5/6mm（对边7）		M4*51.5/6mm（对边7）					
99	六角锁紧螺母	M10		M10					
100	六角长螺母	M4*38		M4*38					
101	六角长螺母（盲孔）	M5*12-S9		M5*12-S9					
102	内三角平头四孔铅封螺钉	M4*20/8mm		M4*20/8mm					
103	内六角	M10*65		M10*65					
104	内六角圆尾紧定螺钉	M8*12		M8*12					
105	内六角圆柱头三组合螺钉	M6*11头9.9		M6*11头9.9					
106	内六角圆柱头三角牙螺钉	M5*9		M5*9					
